Pseudo-terminal will not be allocated because stdin is not a terminal.
Allocated port 5 for remote forward to localhost:3000
You are not authenticated.
Your tunnel will expire in 60 minutes. Upgrade to Pinggy Pro to get unrestricted tunnels. https://dashboard.pinggy.io
http://thbuz-4-210-177-138.a.free.pinggy.link
https://thbuz-4-210-177-138.a.free.pinggy.link

RB: 0, SB: 0, TC: 0, AC: 0               
RB: 0, SB: 0, TC: 0, AC: 0               
RB: 0, SB: 0, TC: 0, AC: 4294967295               
RB: 0, SB: 0, TC: 1, AC: 0               
RB: 313, SB: 1414, TC: 1, AC: 1               
RB: 313, SB: 1414, TC: 1, AC: 0               
RB: 313, SB: 1414, TC: 1, AC: 0               
RB: 313, SB: 1414, TC: 1, AC: 0               
RB: 313, SB: 1414, TC: 1, AC: 0               
RB: 313, SB: 1414, TC: 1, AC: 0               
RB: 313, SB: 1414, TC: 1, AC: 0               
RB: 3098, SB: 7658, TC: 3, AC: 2               
RB: 3098, SB: 7658, TC: 3, AC: 2               
RB: 3098, SB: 26226, TC: 3, AC: 2               
RB: 3098, SB: 26226, TC: 3, AC: 2               
RB: 3098, SB: 26226, TC: 3, AC: 2               
RB: 3098, SB: 26226, TC: 3, AC: 2               
RB: 3098, SB: 26226, TC: 3, AC: 2               
RB: 4930, SB: 32061, TC: 4, AC: 3               
RB: 4930, SB: 32061, TC: 4, AC: 3               
RB: 4930, SB: 32061, TC: 4, AC: 3               
RB: 8462, SB: 32610, TC: 4, AC: 3               
RB: 8462, SB: 32610, TC: 4, AC: 2               
RB: 8462, SB: 32610, TC: 4, AC: 1               
RB: 8469, SB: 32613, TC: 4, AC: 1               
RB: 8476, SB: 32616, TC: 4, AC: 1               
RB: 8476, SB: 32616, TC: 4, AC: 1               
RB: 9180, SB: 32619, TC: 5, AC: 2               
RB: 9180, SB: 32619, TC: 5, AC: 2               
RB: 9180, SB: 32619, TC: 5, AC: 1               
RB: 9180, SB: 32619, TC: 6, AC: 2               
RB: 9180, SB: 34033, TC: 5, AC: 2               
RB: 9180, SB: 34033, TC: 5, AC: 1               
