Pseudo-terminal will not be allocated because stdin is not a terminal.
Allocated port 5 for remote forward to localhost:9000
You are not authenticated.
Your tunnel will expire in 60 minutes. Upgrade to Pinggy Pro to get unrestricted tunnels. https://dashboard.pinggy.io
http://huhgl-20-61-127-52.a.free.pinggy.link
https://huhgl-20-61-127-52.a.free.pinggy.link

RB: 0, SB: 0, TC: 0, AC: 0               
RB: 979, SB: 0, TC: 1, AC: 1               
RB: 979, SB: 0, TC: 1, AC: 1               
RB: 979, SB: 0, TC: 1, AC: 1               
RB: 979, SB: 0, TC: 1, AC: 1               
RB: 1795, SB: 41747, TC: 2, AC: 2               
RB: 1795, SB: 79434, TC: 2, AC: 2               
RB: 1795, SB: 79434, TC: 2, AC: 2               
RB: 1795, SB: 79434, TC: 2, AC: 2               
RB: 1795, SB: 79434, TC: 2, AC: 2               
RB: 1795, SB: 79434, TC: 2, AC: 2               
RB: 3526, SB: 80002, TC: 3, AC: 3               
RB: 3552, SB: 80002, TC: 3, AC: 2               
RB: 3552, SB: 80002, TC: 3, AC: 1               
RB: 3578, SB: 80002, TC: 3, AC: 1               
RB: 3604, SB: 80002, TC: 3, AC: 1               
RB: 3630, SB: 80002, TC: 3, AC: 1               
RB: 3656, SB: 80002, TC: 3, AC: 1               
RB: 3656, SB: 80002, TC: 3, AC: 0               
RB: 3656, SB: 80002, TC: 4, AC: 1               
RB: 3656, SB: 80002, TC: 4, AC: 0               
RB: 3656, SB: 80002, TC: 5, AC: 1               
RB: 3656, SB: 80002, TC: 5, AC: 0               
RB: 3656, SB: 80002, TC: 6, AC: 1               
RB: 3656, SB: 80002, TC: 3, AC: 0               
RB: 3656, SB: 80002, TC: 3, AC: 0               
RB: 3656, SB: 80002, TC: 3, AC: 0               
RB: 4360, SB: 112770, TC: 4, AC: 1               
RB: 4360, SB: 112770, TC: 4, AC: 0               
RB: 4360, SB: 112770, TC: 5, AC: 1               
RB: 4360, SB: 121445, TC: 4, AC: 1               
RB: 4360, SB: 121445, TC: 4, AC: 0               
RB: 4360, SB: 121445, TC: 4, AC: 4294967295               
RB: 4360, SB: 121445, TC: 5, AC: 0               
RB: 4360, SB: 121445, TC: 5, AC: 4294967295               
RB: 4360, SB: 121445, TC: 6, AC: 0               
RB: 4360, SB: 121445, TC: 6, AC: 0               
RB: 5375, SB: 121445, TC: 5, AC: 1               
RB: 5375, SB: 121445, TC: 5, AC: 1               
RB: 5375, SB: 121445, TC: 5, AC: 1               
RB: 5375, SB: 121445, TC: 5, AC: 1               
RB: 6225, SB: 163033, TC: 6, AC: 2               
RB: 6225, SB: 163033, TC: 6, AC: 2               
RB: 6225, SB: 163033, TC: 6, AC: 2               
RB: 7081, SB: 163179, TC: 7, AC: 3               
RB: 7107, SB: 163179, TC: 7, AC: 3               
RB: 7107, SB: 163179, TC: 7, AC: 1               
RB: 7133, SB: 163179, TC: 7, AC: 1               
RB: 7159, SB: 163179, TC: 7, AC: 1               
RB: 7185, SB: 163179, TC: 7, AC: 1               
RB: 7211, SB: 163179, TC: 7, AC: 1               
RB: 7237, SB: 163179, TC: 7, AC: 1               
RB: 7237, SB: 163179, TC: 7, AC: 1               
RB: 7737, SB: 163179, TC: 8, AC: 2               
RB: 7737, SB: 163179, TC: 8, AC: 2               
RB: 7737, SB: 163601, TC: 8, AC: 2               
RB: 7737, SB: 163601, TC: 8, AC: 2               
RB: 7737, SB: 163601, TC: 8, AC: 2               
RB: 8538, SB: 196369, TC: 9, AC: 3               
RB: 8538, SB: 196369, TC: 9, AC: 3               
RB: 8538, SB: 196369, TC: 9, AC: 3               
RB: 9288, SB: 243035, TC: 10, AC: 4               
RB: 9288, SB: 243035, TC: 10, AC: 4               
RB: 9288, SB: 243035, TC: 10, AC: 4               
RB: 9788, SB: 243457, TC: 10, AC: 4               
RB: 9788, SB: 243457, TC: 10, AC: 4               
RB: 9788, SB: 243457, TC: 10, AC: 4               
RB: 10764, SB: 243603, TC: 11, AC: 5               
RB: 10790, SB: 243603, TC: 11, AC: 5               
RB: 10816, SB: 243603, TC: 11, AC: 5               
RB: 10816, SB: 243603, TC: 11, AC: 3               
RB: 10842, SB: 243603, TC: 11, AC: 3               
RB: 10842, SB: 243603, TC: 11, AC: 2               
RB: 10868, SB: 243603, TC: 11, AC: 2               
RB: 10894, SB: 243603, TC: 11, AC: 2               
RB: 14934, SB: 247933, TC: 11, AC: 2               
RB: 14960, SB: 247933, TC: 11, AC: 2               
RB: 14986, SB: 247933, TC: 11, AC: 2               
RB: 22255, SB: 255376, TC: 11, AC: 2               
RB: 22281, SB: 255376, TC: 11, AC: 2               
RB: 22307, SB: 255376, TC: 11, AC: 2               
RB: 27170, SB: 260326, TC: 11, AC: 2               
RB: 27196, SB: 260326, TC: 11, AC: 2               
RB: 27222, SB: 260326, TC: 11, AC: 2               
RB: 27222, SB: 260326, TC: 11, AC: 1               
RB: 27222, SB: 260326, TC: 12, AC: 2               
